v3.0 hex words addressed
00: 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16
10: 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
20: 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48
30: 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64
40: 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80
50: 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96
60: 97 98 99 a0 a1 a2 a3 a4 a5 a6 a7 a8 a9 aa ab ac
70: ad ae af ba bb bc bd bf ca cb cc cd ce cf da db
80: dc dd de df ea eb ec ed ee ef fa fb fc fd fe ff
90: be b1 b2 b3 b4 b5 c1 c2 c3 c4 c5 c6 d1 d2 d3 d4
a0: d5 d6 d7 d8 d9 c7 c8 c9 e1 e2 e3 e4 e5 e6 e7 e8
b0: e9 f1 f2 f3 f4 f5 f6 f7 f8 f9 a4 a5 af a9 a1 a3
c0: a2 a7 b3 0b 05 b6 b7 b9 c3 c5 f1 f2 f3 f4 f6 f6
d0: e5 e6 e4 e7 e8 e9 d1 d2 d3 d4 d5 d6 d7 d8 d9 a1
e0: a2 a3 a4 a5 a6 a7 a8 a9 b1 b2 b3 b4 b5 b7 b8 c3
f0: c6 c9 c1 c2 c3 c9 c4 c8 c3 c6 ad ae af ad aa ab
